Tag,total_vid_count,avg_duration,total_duration
python,199,0 days 01:06:50.080402010,9 days 05:40:06
python tutorial,80,0 days 02:01:50.025000,6 days 18:26:42
Python,66,0 days 01:03:13.242424242,2 days 21:32:34
python programming,42,0 days 01:54:34.928571428,3 days 08:12:27
learn python,40,0 days 02:51:42.425000,4 days 18:28:17
python for beginners,32,0 days 02:25:15.875000,3 days 05:28:28
python tutorial for beginners,30,0 days 02:59:12.366666666,3 days 17:36:11
tutorial,28,0 days 00:46:23.500000,0 days 21:38:58
programming,25,0 days 01:03:53.960000,1 days 02:37:29
python 3,24,0 days 00:44:20.541666666,0 days 17:44:13
learn python programming,20,0 days 04:29:37.500000,3 days 17:52:30
machine learning,18,0 days 01:26:02.833333333,1 days 01:48:51
python course,18,0 days 05:10:19.500000,3 days 21:05:51
wildlife,18,0 days 00:09:06.833333333,0 days 02:44:03
python full course,18,0 days 05:27:38.888888888,4 days 02:17:40
java,18,0 days 01:04:12.833333333,0 days 19:15:51
coding,16,0 days 00:27:56.875000,0 days 07:27:10
python programming tutorial,16,0 days 05:15:35.062500,3 days 12:09:21
snake,16,0 days 00:13:34.437500,0 days 03:37:11
animals,15,0 days 00:07:36.533333333,0 days 01:54:08
python basics,14,0 days 03:13:25.142857142,1 days 21:07:52
snakes,14,0 days 00:12:07,0 days 02:49:38
pygame,14,0 days 01:00:41.071428571,0 days 14:09:35
data science,14,0 days 01:22:32.642857142,0 days 19:15:37
django,14,0 days 00:41:37.571428571,0 days 09:42:46
yt:cc=on,13,0 days 03:08:14,1 days 16:47:02
python programming language,13,0 days 04:44:23.846153846,2 days 13:37:10
python (programming language),12,0 days 02:26:02.583333333,1 days 05:12:31
national geographic,11,0 days 00:07:50.454545454,0 days 01:26:15
curso de python,11,0 days 01:01:03.545454545,0 days 11:11:39
code,11,0 days 00:25:32.090909090,0 days 04:40:53
python from scratch,10,0 days 04:47:00.700000,1 days 23:50:07
пайтон,10,0 days 00:18:56.900000,0 days 03:09:29
python projects,10,0 days 01:31:03.700000,0 days 15:10:37
navin,10,0 days 01:18:05.800000,0 days 13:00:58
telusko,10,0 days 01:18:05.800000,0 days 13:00:58
reddy,10,0 days 01:18:05.800000,0 days 13:00:58
edureka,10,0 days 02:15:32.700000,0 days 22:35:27
питон,9,0 days 00:19:38.555555555,0 days 02:56:47
anaconda,9,0 days 00:39:22,0 days 05:54:18
software,9,0 days 00:59:08.222222222,0 days 08:52:14
tech with tim,9,0 days 00:41:22.888888888,0 days 06:12:26
python training,9,0 days 04:28:46,1 days 16:18:54
python language,9,0 days 05:49:28.666666666,2 days 04:25:18
what is python,9,0 days 01:22:20.222222222,0 days 12:21:02
python crash course,9,0 days 02:41:55.222222222,1 days 00:17:17
python tutorial in hindi,8,0 days 03:25:00.125000,1 days 03:20:01
tutorial python,8,0 days 00:47:36.250000,0 days 06:20:50
flask,8,0 days 01:23:46.875000,0 days 11:10:15
python3,8,0 days 00:48:29.750000,0 days 06:27:58
video,8,0 days 00:11:53.625000,0 days 01:35:09
python для начинающих,8,0 days 01:07:38,0 days 09:01:04
artificial intelligence,8,0 days 01:04:26.500000,0 days 08:35:32
Python 3,8,0 days 01:15:12.875000,0 days 10:01:43
reptiles,8,0 days 00:11:19.250000,0 days 01:30:34
Snake,8,0 days 00:17:17.750000,0 days 02:18:22
nature,8,0 days 00:03:20.875000,0 days 00:26:47
comedy,8,0 days 00:37:23.875000,0 days 04:59:11
windows,7,0 days 00:14:43,0 days 01:43:01
Python Tutorial,7,0 days 02:06:31.714285714,0 days 14:45:42
action,7,0 days 00:44:21.857142857,0 days 05:10:33
print,7,0 days 00:16:43,0 days 01:57:01
web development,7,0 days 01:10:32.428571428,0 days 08:13:47
adventure,7,0 days 00:45:23.285714285,0 days 05:17:43
уроки python,7,0 days 01:20:17.142857142,0 days 09:22:00
入門,7,0 days 01:15:04.857142857,0 days 08:45:34
reptile,7,0 days 00:06:13.571428571,0 days 00:43:35
Gustavo Guanabara,7,0 days 00:31:03.142857142,0 days 03:37:22
opencv,7,0 days 01:49:38.428571428,0 days 12:47:29
python edureka,7,0 days 03:06:28.428571428,0 days 21:45:19
プログラミング,7,0 days 01:16:17.285714285,0 days 08:54:01
full movie,6,0 days 01:00:02.333333333,0 days 06:00:14
Curso de Python,6,0 days 00:28:25.833333333,0 days 02:50:35
python tutorials,6,0 days 04:08:54.333333333,1 days 00:53:26
python tutorial for beginners in hindi,6,0 days 02:33:36.666666666,0 days 15:21:40
chinese movie,6,0 days 01:00:02.333333333,0 days 06:00:14
Python Programming,6,0 days 01:12:55.666666666,0 days 07:17:34
python tutorial 2021,6,0 days 03:27:13.666666666,0 days 20:43:22
corey schafer,6,0 days 00:32:20.166666666,0 days 03:14:01
python уроки,6,0 days 01:29:43.500000,0 days 08:58:21
programmation,6,0 days 00:37:20.166666666,0 days 03:44:01
programming tutorial,6,0 days 05:08:38,1 days 06:51:48
Programming,6,0 days 01:37:11,0 days 09:43:06
pycharm,6,0 days 01:43:53.333333333,0 days 10:23:20
hello world,6,0 days 00:30:08.833333333,0 days 03:00:53
animal planet,6,0 days 00:04:55.833333333,0 days 00:29:35
pets,6,0 days 00:08:40.833333333,0 days 00:52:05
animal,6,0 days 00:09:42.166666666,0 days 00:58:13
nat geo wild,6,0 days 00:02:52,0 days 00:17:12
aprender python,6,0 days 01:40:01.500000,0 days 10:00:09
science,6,0 days 00:12:01.666666666,0 days 01:12:10
curso python,6,0 days 01:39:10.333333333,0 days 09:55:02
программирование,6,0 days 00:16:54.666666666,0 days 01:41:28
action movie,5,0 days 00:58:05,0 days 04:50:25
ball python,5,0 days 00:10:55,0 days 00:54:35
电影,5,0 days 00:58:05,0 days 04:50:25
martial,5,0 days 00:58:05,0 days 04:50:25
disaster movie,5,0 days 00:58:05,0 days 04:50:25
impala,5,0 days 00:04:04.200000,0 days 00:20:21
pandas,5,0 days 02:53:14.200000,0 days 14:26:11
AI,5,0 days 01:09:17,0 days 05:46:25
初学者,5,0 days 01:37:30,0 days 08:07:30
web scraping,5,0 days 00:40:52,0 days 03:24:20
c++,5,0 days 00:10:58.600000,0 days 00:54:53
講座,5,0 days 01:37:30,0 days 08:07:30
lập trình,5,0 days 00:42:26.200000,0 days 03:32:11
costume movie,5,0 days 00:58:05,0 days 04:50:25
monster movie,5,0 days 00:58:05,0 days 04:50:25
уроки,5,0 days 00:23:34.200000,0 days 01:57:51
romance,5,0 days 00:58:05,0 days 04:50:25
adventure movie,5,0 days 00:58:05,0 days 04:50:25
初心者,5,0 days 00:28:01.400000,0 days 02:20:07
free movie,5,0 days 00:58:05,0 days 04:50:25
numpy,5,0 days 03:16:03.600000,0 days 16:20:18
youtube movie free,5,0 days 00:58:05,0 days 04:50:25
kungfu,5,0 days 00:58:05,0 days 04:50:25
discovery channel,5,0 days 00:13:48.600000,0 days 01:09:03
learn programming,5,0 days 01:16:39.600000,0 days 06:23:18
why learn python,5,0 days 00:07:05.600000,0 days 00:35:28
хауди хо,5,0 days 00:22:00.400000,0 days 01:50:02
Learn Python,5,0 days 04:05:44.600000,0 days 20:28:43
chinese film,5,0 days 00:58:05,0 days 04:50:25
Animals,5,0 days 00:05:18.400000,0 days 00:26:32
html,5,0 days 00:11:50.200000,0 days 00:59:11
python hindi,5,0 days 03:46:09.400000,0 days 18:50:47
wild,5,0 days 00:03:39.600000,0 days 00:18:18
youku movie,5,0 days 00:58:05,0 days 04:50:25
python tutorial ita,5,0 days 00:52:30.600000,0 days 04:22:33
python ita,5,0 days 00:52:30.600000,0 days 04:22:33
matplotlib,5,0 days 02:54:07.200000,0 days 14:30:36
movie,5,0 days 00:58:05,0 days 04:50:25
PYTHON,5,0 days 01:43:44.400000,0 days 08:38:42
horror movie,5,0 days 00:58:05,0 days 04:50:25
python programming for beginners,5,0 days 02:14:54.600000,0 days 11:14:33
fantasy,5,0 days 00:58:05,0 days 04:50:25
leopard,4,0 days 00:11:51.500000,0 days 00:47:26
